0;0;0;0;sea;false;ocean;0
1;136;255;136;land;false;plains;1
2;38;160;12;land;true;plains;1
3;217;22;97;land;false;plains;1
4;22;194;251;land;false;plains;1
5;205;88;218;land;false;plains;1
6;251;207;101;land;false;plains;1
7;33;54;169;land;false;plains;1
8;198;192;218;land;false;plains;1
9;193;35;159;land;false;plains;1
10;255;127;28;land;false;plains;1
11;145;18;57;land;false;plains;1
12;167;66;97;land;false;plains;1
13;97;250;46;land;false;plains;1
14;86;216;233;land;false;plains;1
15;90;253;103;land;false;plains;1
16;112;74;200;land;false;plains;1
17;36;72;221;land;false;plains;1
18;22;183;56;land;false;plains;1
19;218;68;124;land;false;plains;1
20;110;81;24;land;false;plains;1
21;194;61;63;land;false;plains;1
22;18;73;29;land;false;plains;1
23;205;169;116;land;false;plains;1
24;219;227;219;land;false;plains;1
25;141;221;209;land;false;plains;1
26;136;16;24;land;false;plains;1
27;22;16;251;land;false;plains;1
28;14;125;98;land;true;plains;1
29;182;174;241;land;true;plains;1
30;134;55;221;land;false;plains;1
31;178;23;147;land;false;plains;1
32;235;195;194;land;false;plains;1
33;129;241;0;land;false;plains;1
34;147;88;92;land;false;plains;1
35;51;230;123;land;false;plains;1
36;181;114;248;land;false;plains;1
37;1;139;66;land;true;plains;1
38;28;152;127;land;true;plains;1
39;24;188;7;land;true;plains;1
40;140;178;180;land;false;plains;1
41;83;171;208;land;false;plains;1
42;199;104;28;land;false;plains;1
43;134;64;149;land;false;plains;1
44;237;135;235;land;false;plains;1
45;98;236;47;land;false;plains;1
46;194;185;96;land;false;plains;1
47;249;82;152;land;false;plains;1
48;113;71;2;land;false;plains;1
49;68;62;233;land;false;plains;1
50;90;38;108;land;false;plains;1
51;188;85;169;land;false;plains;1
52;47;224;43;land;false;plains;1
53;13;83;185;land;false;plains;1
54;218;99;61;land;false;plains;1
55;194;125;72;land;true;plains;1
56;64;181;160;land;false;plains;1
57;151;189;97;land;false;plains;1
58;172;86;253;land;false;plains;1
59;183;243;99;land;false;plains;1
60;163;196;138;land;false;plains;1
61;130;128;64;land;true;plains;1
62;59;206;229;land;false;plains;1
63;201;185;215;land;true;plains;1
64;19;242;30;land;false;plains;1
65;209;137;222;land;false;plains;1
66;98;105;254;land;false;plains;1
67;131;175;230;land;false;plains;1
68;22;63;183;land;false;plains;1
69;14;30;38;land;false;plains;1
70;204;119;207;land;false;plains;1
71;32;112;4;land;false;plains;1
72;110;23;15;land;false;plains;1
73;189;84;189;land;true;plains;1
74;249;200;243;land;false;plains;1
75;214;15;162;land;false;plains;1
76;41;149;253;land;false;plains;1
77;126;24;117;land;false;plains;1
78;76;101;160;land;false;plains;1
79;115;127;10;land;false;plains;1
80;41;83;40;land;false;plains;1
81;16;3;65;land;false;plains;1
82;23;27;77;land;false;plains;1
83;128;143;10;land;false;plains;1
84;139;111;114;land;false;plains;1
85;158;73;108;land;false;plains;1
86;236;123;70;land;false;plains;1
87;94;19;195;land;true;plains;1
88;175;60;210;land;false;plains;1
89;146;213;100;land;false;plains;1
90;187;7;38;land;false;plains;1
91;46;2;152;land;false;plains;1
92;102;102;131;land;false;plains;1
93;120;114;240;land;true;plains;1
94;64;10;233;land;false;plains;1
95;237;172;108;land;false;plains;1
96;6;100;190;land;false;plains;1
97;206;239;185;land;false;plains;1
98;20;7;56;land;false;plains;1
99;200;190;34;land;false;plains;1
100;49;89;180;land;false;plains;1
101;88;75;147;land;false;plains;1
